geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
1,1,1,13.0,4,0.0,92.0,89.0,60.0,87.0,71.0,92.0,77.5,0,0.09799999999999998,0
1,1,0,13.0,4,0.0,85.0,89.0,80.0,92.0,87.0,64.0,80.75,0,0.126,0
1,1,1,13.0,4,0.0,95.0,91.0,87.0,75.0,54.0,95.0,77.75,0,0.074,0
0,1,0,11.8,3,0.0,73.6,74.5,56.6,61.4,56.9,61.2,59.025000000000006,0,0.2586,0
1,1,1,12.0,3,0.0,88.0,87.0,95.0,67.0,50.0,64.0,69.0,0,0.126,0
0,0,0,13.0,4,0.0,93.0,86.0,60.0,74.0,65.0,65.0,66.0,0,0.11199999999999999,0
1,1,1,8.0,1,0.0,85.0,87.0,68.0,57.0,57.0,63.0,61.25,0,0.138,0
1,1,0,13.0,4,0.0,90.0,92.0,61.0,92.0,81.0,90.0,81.0,0,0.08799999999999997,0
0,1,0,10.0,4,0.0,97.0,77.0,64.0,45.0,63.0,62.0,58.5,0,0.15,0
0,1,0,12.0,3,0.0,81.0,91.0,76.0,73.0,77.0,77.0,75.75,0,0.12999999999999995,0
1,1,1,13.0,4,0.0,97.0,98.0,70.0,51.0,56.0,47.0,56.0,0,0.02400000000000002,0
1,1,1,13.0,2,1.0,83.0,85.0,65.0,64.0,72.0,65.0,66.5,0,0.15800000000000003,0
1,1,1,6.0,0,0.0,92.0,85.0,69.0,57.0,68.0,68.0,65.5,0,0.122,0
0,1,1,10.3,4,0.0,74.0,100.0,55.3,84.9,76.8,75.5,73.125,1,0.10400000000000001,0
1,1,0,9.0,1,2.0,20.0,37.0,34.0,20.0,44.0,74.0,43.0,0,0.6980000000000001,1
0,1,0,12.0,4,0.0,76.0,80.0,64.0,59.0,71.0,72.0,66.5,0,0.21599999999999997,0
0,1,0,13.0,4,0.0,82.0,81.0,62.0,75.0,68.0,70.0,68.75,0,0.186,0
1,1,1,12.0,2,2.0,86.0,91.0,84.0,59.0,61.0,47.0,62.75,0,0.10999999999999999,0
1,1,1,12.0,3,1.0,92.0,91.0,57.0,46.0,86.0,40.0,57.25,0,0.08599999999999997,0
1,1,1,12.0,3,0.0,85.0,91.0,76.0,71.0,75.0,75.0,74.25,0,0.11399999999999999,0
1,1,1,7.0,1,2.0,20.0,37.0,30.0,15.0,33.0,74.0,38.0,0,0.6980000000000001,1
0,1,1,10.3,3,0.0,76.4,90.2,76.7,74.3,67.1,65.3,70.85,1,0.15319999999999998,0
1,1,1,8.0,1,0.0,79.9,81.8,65.4,68.7,60.8,64.8,64.92500000000001,1,0.18960000000000002,0
1,1,0,12.0,3,0.0,88.0,87.0,60.0,85.0,93.0,90.0,82.0,0,0.126,0
1,1,1,14.0,3,2.0,65.0,64.0,59.0,60.0,57.0,57.0,58.25,0,0.356,0
1,1,0,9.4,1,0.0,78.6,83.9,74.4,69.6,64.8,58.8,66.9,1,0.18219999999999997,0
0,1,1,9.0,0,0.0,77.0,77.0,66.0,68.0,54.0,56.0,61.0,0,0.22999999999999998,0
0,1,1,12.9,4,0.0,85.6,85.6,68.1,64.1,64.0,78.7,68.725,1,0.14400000000000002,0
1,1,1,9.0,1,0.0,90.0,71.0,70.0,69.0,64.0,76.0,69.75,0,0.21400000000000002,0
0,1,1,10.8,3,0.0,77.5,85.3,65.4,74.8,82.5,63.9,71.64999999999999,0,0.17820000000000003,0
0,1,0,13.0,3,0.0,88.0,93.0,89.0,82.0,84.0,81.0,84.0,0,0.08999999999999997,0
0,1,0,14.0,4,0.0,79.0,83.0,70.0,60.0,65.0,66.0,65.25,0,0.186,0
1,1,0,13.0,4,0.0,96.0,99.0,90.0,76.0,89.0,96.0,87.75,0,0.02200000000000002,0
0,1,1,10.0,3,0.0,70.0,79.0,73.0,59.0,54.0,84.0,67.5,0,0.246,0
1,1,1,13.0,4,0.0,95.0,96.0,95.0,67.0,96.0,90.0,87.0,0,0.04400000000000004,0
0,1,1,11.0,4,0.0,77.0,79.0,61.0,69.0,60.0,72.0,65.5,0,0.21799999999999997,0
